,defense,drives,efficiency,elbowtouch,handoff,isolation,misc,offscreen,painttouch,passing,pnr,possessions,posttouch,postup,pullup,putback,rebounding,rollman,speed,spotup,transition
defense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
efficiency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elbowtouch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
handoff,102,102,102,102,0,63,85,37,102,102,25,102,102,74,102,80,102,83,102,83,84
isolation,60,60,60,60,21,0,41,21,60,60,22,60,60,27,60,38,60,33,60,45,42
misc,25,25,25,25,8,6,0,9,25,25,10,25,25,5,25,11,25,5,25,16,15
offscreen,95,95,95,95,30,56,79,0,95,95,24,95,95,66,95,72,95,70,95,74,76
painttouch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
passing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pnr,122,122,122,122,45,84,107,51,122,122,0,122,122,96,122,103,122,107,122,102,103
possessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
posttouch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postup,146,146,146,146,118,113,126,117,146,146,120,146,146,0,146,107,146,44,146,134,129
pullup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
putback,44,44,44,44,22,22,30,21,44,44,25,44,44,5,44,0,44,12,44,36,31
rebounding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rollman,149,149,149,149,130,122,129,124,149,149,134,149,149,47,149,117,149,0,149,141,136
speed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spotup,22,22,22,22,3,7,13,1,22,22,2,22,22,10,22,14,22,14,22,0,10
transition,22,22,22,22,4,4,12,3,22,22,3,22,22,5,22,9,22,9,22,10,0
