,PlayerIDSID,PlayerFirstName,PlayerLastName,PlayerNumber,P,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,GP,Poss,Time,Points,FGA,FGM,PPP,WorsePPP,BetterPPP,PossG,PPG,FGAG,FGMG,FGmG,FGm,FG,aFG,FT,TO,SF,PlusOne,Score
0,202704,Reggie,Jackson,1,G,1610612765,Detroit Pistons,DET,Detroit,41,486,56.70940017700195,422,392,172,0.8683130145072937,166,59,11.853658536585366,10.292682926829269,9.560975609756097,4.195121951219512,5.365853658536585,220,43.87755102040816,46.55612244897959,8.024691358024691,13.580246913580247,7.407407407407407,2.263374485596708,41.1522633744856
1,203081,Damian,Lillard,0,G,1610612757,Portland Trail Blazers,POR,Portland,37,398,42.2056999206543,360,308,127,0.9045230150222778,184,41,10.756756756756756,9.72972972972973,8.324324324324325,3.4324324324324325,4.891891891891892,181,41.23376623376623,47.24025974025974,10.552763819095478,14.07035175879397,9.296482412060302,2.2613065326633164,40.20100502512563
2,201566,Russell,Westbrook,0,G,1610612760,Oklahoma City Thunder,OKC,OklahomaCity,43,413,36.71110153198242,347,286,122,0.8401939868927002,150,75,9.604651162790697,8.069767441860465,6.651162790697675,2.8372093023255816,3.813953488372093,164,42.65734265734266,46.85314685314685,13.075060532687651,19.612590799031477,10.895883777239709,1.937046004842615,40.43583535108959
3,202689,Kemba,Walker,15,G,1610612766,Charlotte Hornets,CHA,Charlotte,41,382,45.91350173950195,332,301,129,0.8691099882125854,167,58,9.317073170731707,8.097560975609756,7.341463414634147,3.1463414634146343,4.195121951219512,172,42.857142857142854,46.179401993355484,9.424083769633508,12.303664921465968,6.544502617801047,0.5235602094240838,41.8848167539267
4,101108,Chris,Paul,3,G,1610612746,Los Angeles Clippers,LAC,LAClippers,36,354,51.8302001953125,310,281,128,0.8757060170173645,170,55,9.833333333333334,8.61111111111111,7.805555555555555,3.5555555555555554,4.25,153,45.55160142348755,48.39857651245551,7.062146892655368,14.971751412429379,3.1073446327683616,1.4124293785310735,41.52542372881356
5,203468,CJ,McCollum,3,G,1610612757,Portland Trail Blazers,POR,Portland,42,330,36.66669845581055,308,274,125,0.9333329796791077,194,31,7.857142857142857,7.333333333333333,6.523809523809524,2.9761904761904763,3.5476190476190474,149,45.62043795620438,50.18248175182482,6.666666666666667,12.121212121212121,5.757575757575758,1.8181818181818181,42.72727272727273
6,201939,Stephen,Curry,30,G,1610612744,Golden State Warriors,GSW,GoldenState,40,254,25.27359962463379,284,199,100,1.118109941482544,220,5,6.35,7.1,4.975,2.5,2.4749999999999996,99,50.25125628140704,61.55778894472362,9.448818897637794,14.960629921259843,7.874015748031496,3.1496062992125986,45.669291338582674
7,201942,DeMar,DeRozan,10,G,1610612761,Toronto Raptors,TOR,Toronto,41,279,29.123199462890625,275,207,101,0.9856629967689514,207,18,6.804878048780488,6.7073170731707314,5.048780487804878,2.4634146341463414,2.5853658536585367,106,48.792270531400966,49.033816425120776,16.487455197132615,12.903225806451612,13.978494623655914,3.5842293906810037,48.74551971326165
8,202688,Brandon,Knight,3,G,1610612756,Phoenix Suns,PHX,Phoenix,42,382,41.20819854736328,273,291,107,0.7146599888801575,86,139,9.095238095238095,6.5,6.928571428571429,2.5476190476190474,4.380952380952381,184,36.76975945017182,40.034364261168385,6.544502617801047,18.32460732984293,5.2356020942408374,1.0471204188481675,33.246073298429316
9,202322,John,Wall,2,G,1610612764,Washington Wizards,WAS,Washington,40,390,41.57780075073242,273,297,118,0.699999988079071,79,145,9.75,6.825,7.425,2.95,4.475,179,39.73063973063973,41.41414141414141,4.871794871794871,20.0,4.358974358974359,1.0256410256410255,34.1025641025641
